City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,Tessalit,20.1986,1.0114,69.91,17,0,9.84,ML,1668130742
270,Taquarituba,-23.5331,-49.2444,63.03,66,3,6.49,BR,1668130742
271,Colac,-38.3333,143.5833,61.18,82,100,5.41,AU,1668130742
272,Lagos,6.5833,3.75,75.52,92,26,3.78,NG,1668130500
273,Superior,46.7208,-92.1041,39.7,95,100,24.16,US,1668130578
274,Dudinka,69.4058,86.1778,2.62,95,100,20.67,RU,1668130743
275,Sidi Ali,36.0998,0.4206,63.1,71,88,1.48,DZ,1668130744
276,Moyo,3.6609,31.7247,62.98,97,100,1.9,UG,1668130744
277,Sept-Îles,50.2001,-66.3821,41.0,84,100,11.5,CA,1668130744
278,Caravelas,-17.7125,-39.2481,75.6,89,12,7.94,BR,1668130745
279,Sirte,31.2089,16.5887,67.12,67,11,9.15,LY,1668130745
280,Avarua,-21.2078,-159.775,78.85,65,40,12.66,CK,1668130746
281,Lisala,2.15,21.5167,68.18,100,100,1.7,CD,1668130746
282,Burnie,-41.0667,145.9167,64.67,75,81,9.37,AU,1668130746
283,Lagunas,-5.2269,-75.6753,75.83,85,79,3.02,PE,1668130747
284,Bereda,43.2686,-7.5406,49.41,100,77,1.74,ES,1668130747
285,Pinerovka,51.562,43.0689,36.61,93,16,8.59,RU,1668130748
286,Salta,-24.7859,-65.4117,77.59,44,75,12.66,AR,1668130748
287,Tiksi,71.6872,128.8694,-13.83,100,99,3.89,RU,1668130748
288,Kamenka,51.3223,42.7678,35.98,92,18,8.32,RU,1668130749
289,Lompoc,34.6391,-120.4579,59.77,73,0,6.91,US,1668130749
290,Faanui,-16.4833,-151.75,78.91,77,34,5.08,PF,1668130749
291,Shingū,33.7333,135.9833,68.32,56,1,4.0,JP,1668130750
292,Santo Tomas,14.1079,121.1414,83.55,65,59,9.08,PH,1668130750
293,Ippy,6.2679,21.2247,70.27,91,100,2.33,CF,1668130751
294,Mitsamiouli,-11.3847,43.2844,76.73,81,3,9.1,KM,1668130751
295,Olenegorsk,68.15,33.3,29.05,94,99,3.4,RU,1668130751
296,Severobaykal'sk,55.65,109.3167,22.24,73,100,6.17,RU,1668130751
297,Fare,-16.7,-151.0167,79.27,77,14,6.98,PF,1668130752
298,Itoman,26.1247,127.6694,79.18,86,75,16.11,JP,1668130752
299,Omboué,-1.5746,9.2618,71.85,94,100,4.63,GA,1668130752
300,Marawi,7.9986,124.2928,74.14,81,98,1.39,PH,1668130753
301,Tilichiki,60.4667,166.1,28.49,76,100,19.66,RU,1668130753
302,San Clemente,33.427,-117.612,63.1,61,0,4.0,US,1668130754
303,Kodinsk,58.6881,99.1844,22.01,96,99,3.87,RU,1668130754
304,Lethem,3.3803,-59.7968,75.07,89,100,7.58,GY,1668130754
305,Denton,33.2001,-97.1336,71.89,86,100,9.22,US,1668130527
306,Prince Rupert,54.3161,-130.3201,44.29,79,100,33.38,CA,1668130479
307,Yulara,-25.2406,130.9889,96.24,19,65,18.79,AU,1668130756
308,Katsuura,35.1333,140.3,68.47,57,0,16.24,JP,1668130756
309,Koboko,3.4136,30.9599,60.8,92,100,1.3,UG,1668130757
310,Chernomorskiy,44.8506,38.4936,39.47,88,16,2.55,RU,1668130757
311,Ahipara,-35.1667,173.1667,70.59,75,6,9.73,NZ,1668130757
312,Vila Franca do Campo,37.7167,-25.4333,60.19,82,100,7.25,PT,1668130758
313,Lebu,-37.6167,-73.65,53.98,95,100,6.44,CL,1668130758
314,Toamasina,-18.1667,49.3833,64.4,100,20,1.14,MG,1668130758
315,Vanavara,60.34,102.2797,11.5,93,100,1.83,RU,1668130759
316,Sambava,-14.2667,50.1667,69.73,82,64,6.42,MG,1668130759
